ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 5 default
88283,simple,77845,,מוצר בדיקה,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,19.90,כללי,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10174,simple,56390,,GIFT CARD,1,0,visible,The perfect gift יש יותר כיף מלפנק את האהובים שלנו בשובר קניה בחנות האהובה עליהם? *השימוש בגיפט קארד של האתר תקף לאתר בלבד *משלוח גיפט קארד כרוך בדמי משלוח בכל סכום. הטבת משלוח חינם מעל 500 ש”ח חלה על רכישת מוצרים בלבד.,"The perfect gift יש יותר כיף מלפנק את האהובים שלנו בשובר קניה בחנות האהובה עליהם? &amp;nbsp; *השימוש בגיפט קארד של האתר תקף לאתר בלבד *משלוח גיפט קארד כרוך בדמי משלוח בכל סכום. הטבת משלוח חינם מעל 500 ש""ח חלה על רכישת מוצרים בלבד.",,,taxable,,1,,,0,0,,,,,1,,50.00,99.00,כללי,,,https://cstyle.co.il/wp-content/uploads/2024/06/giftcardweb.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
37742,variable,10749B,,חגורת דמוי עור,1,0,visible,,אורך החגורה: 112CM,,,taxable,,0,,,0,0,,,,,1,,,,ACCESSORIES,,,https://cstyle.co.il/wp-content/uploads/2025/07/ya-1114.jpg,,,,,,,,,0,,Color,"חום, שחור",1,0,,,,,,,,,,,,,,,,,,,,,
107737,variation,10749B--01--OS,,חגורת דמוי עור - שחור,1,0,visible,,,,,taxable,parent,0,,,0,0,0.150,,,,0,,,25,,,,https://cstyle.co.il/wp-content/uploads/2025/07/ya-1114.jpg,,,id:37742,,,,,,,,Color,שחור,,0,,,,,,,,,,,,,,,,,,,,,
107738,variation,10749B--08--OS,,חגורת דמוי עור - חום,1,0,visible,,,,,taxable,parent,0,,,0,0,0.150,,,,0,,,25,,,,https://cstyle.co.il/wp-content/uploads/2025/07/ya-1115.jpg,,,id:37742,,,,,,,,Color,חום,,0,,,,,,,,,,,,,,,,,,,,,
78775,variable,10776,,כיסוי ראש חלק,1,0,visible,מטפחת לונג פליסה בסיומת תיפורים לבנים וחרוזים.,מטפחת לונג פליסה בסיומת תיפורים לבנים וחרוזים.,,,taxable,,0,,,0,0,,,,,1,,,,ACCESSORIES > מטפחות,,,"https://cstyle.co.il/wp-content/uploads/2024/06/ya-0145-scaled.jpg, https://cstyle.co.il/wp-content/uploads/2024/06/ya-0139-scaled.jpg",,,,,,,,,0,,Color,"אבן, לבן, שחור",1,0,,,,,,,,,,,,,,,,,,,,,
55241,variation,10776--01--OS,,כיסוי ראש חלק - שחור,1,0,visible,,,,,taxable,parent,0,,,0,0,0.15,,,,0,,,25,,,,https://cstyle.co.il/wp-content/uploads/2024/06/ya-0130-scaled.jpg,,,id:78775,,,,,,,,Color,שחור,,0,,,,,,,,,,,,,,,,,,,,,
55242,variation,10776--02--OS,,כיסוי ראש חלק - לבן,1,0,visible,,,,,taxable,parent,0,,,0,0,0.15,,,,0,,,25,,,,https://cstyle.co.il/wp-content/uploads/2024/06/ya-0123-scaled.jpg,,,id:78775,,,,,,,,Color,לבן,,0,,,,,,,,,,,,,,,,,,,,,
55243,variation,10776--56--OS,,כיסוי ראש חלק - אבן,1,0,visible,,,,,taxable,parent,0,,,0,0,0.15,,,,0,,,25,,,,https://cstyle.co.il/wp-content/uploads/2024/06/ya-0145-scaled.jpg,,,id:78775,,,,,,,,Color,אבן,,0,,,,,,,,,,,,,,,,,,,,,
69454,variable,10778,,כיסוי ראש פרינט,1,0,visible,,"כיסוי ראש בשילוב הדפס , סיומת פרנזים חרוזים . ONE SIZE אין החלפות או החזרות על מטפחות",,,taxable,,0,,,0,0,,,,,1,,,,ACCESSORIES > מטפחות,,,"https://cstyle.co.il/wp-content/uploads/2024/06/ya-289-scaled.jpg, https://cstyle.co.il/wp-content/uploads/2024/06/ya-294-scaled.jpg",,,,,,,,,0,,Color,"אבן, שחור",1,0,,,,,,,,,,,,,,,,,,,,,
