ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 5 default
85394,variable,441426,,שמלת מקסי קלושW261015,1,0,visible,"שמלת מקסי נשית וקלילה עשויה 100% כותנה נעימה ואוורירית, גזרת כפתורים קדמית נוחה, מתאימה במיוחד להנקה, צווארון קלאסי ושרוולי 3/4 למראה אלגנטי. חגורת קשירה במותן עשויה מבד השמלה ומאפשרת התאמה למבנה הגוף. שמלה ליום יום, לפיקניק בשמש או ליציאה קז’ואל עם סטייל.",הרכב בד: 100% כותנה ביטנה- 100% פוליאסטר הוראות כביסה: עפ”י הוראות הכביסה המופיעות בתווית המוצר אריג כותנה עלול להתכווץ עד 5% בכביסה ראשונה אורך: 135 ס”מ לעוד פרטי מקסי לחצי כאן>>,,,taxable,,1,,,0,0,,,,,1,,,,"NEW, PLUS SIZE מידות גדולות, בגדי הנקה, כל הפריטים באתר, מוצרים ב149 ש""ח, נערות, נערות, נשים, נשים, קולקציית מקסי, שמלות, שמלות, שמלות, שמלות במידות גדולות, שמלות הנקה צנועות, שמלות הריון צנועות, שמלות נשים, שמלות צנועות חדשות",,,,,,,,,,,,0,,Color,"blue, camel",1,0,,Size,"46, L, M, S, XL, XS",1,0,,צבע,"blue , camel",1,0,,מידה,"46 , L , M , S , XL , XS",1,0,,,,,,
335483,variation,441426028046,,"שמלת מקסי קלושW261015 - blue, 46",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,359,,,,https://mekimi.co.il/wp-content/uploads/2025/07/‎⁨מקימי-חורף-26⁩102159-scaled.jpg,,,id:85394,,,,,,,,Color,blue,,0,,Size,46,,0,,,,,,,,,,,,,,,,
335484,variation,441426028052,,"שמלת מקסי קלושW261015 - blue, L",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,359,,,,https://mekimi.co.il/wp-content/uploads/2025/07/‎⁨מקימי-חורף-26⁩102159-scaled.jpg,,,id:85394,,,,,,,,Color,blue,,0,,Size,L,,0,,,,,,,,,,,,,,,,
335485,variation,441426028051,,"שמלת מקסי קלושW261015 - blue, M",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,359,,,,https://mekimi.co.il/wp-content/uploads/2025/07/‎⁨מקימי-חורף-26⁩102159-scaled.jpg,,,id:85394,,,,,,,,Color,blue,,0,,Size,M,,0,,,,,,,,,,,,,,,,
335486,variation,441426028050,,"שמלת מקסי קלושW261015 - blue, S",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,359,,,,https://mekimi.co.il/wp-content/uploads/2025/07/‎⁨מקימי-חורף-26⁩102159-scaled.jpg,,,id:85394,,,,,,,,Color,blue,,0,,Size,S,,0,,,,,,,,,,,,,,,,
335487,variation,441426028054,,"שמלת מקסי קלושW261015 - blue, XL",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,359,,,,https://mekimi.co.il/wp-content/uploads/2025/07/‎⁨מקימי-חורף-26⁩102159-scaled.jpg,,,id:85394,,,,,,,,Color,blue,,0,,Size,XL,,0,,,,,,,,,,,,,,,,
335488,variation,441426028049,,"שמלת מקסי קלושW261015 - blue, XS",1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,,359,,,,https://mekimi.co.il/wp-content/uploads/2025/07/‎⁨מקימי-חורף-26⁩102159-scaled.jpg,,,id:85394,,,,,,,,Color,blue,,0,,Size,XS,,0,,,,,,,,,,,,,,,,
335489,variation,441426023046,,"שמלת מקסי קלושW261015 - camel, 46",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,359,,,,https://mekimi.co.il/wp-content/uploads/2025/07/‎⁨מקימי-חורף-26⁩102159-scaled.jpg,,,id:85394,,,,,,,,Color,camel,,0,,Size,46,,0,,,,,,,,,,,,,,,,
335490,variation,441426023052,,"שמלת מקסי קלושW261015 - camel, L",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,359,,,,https://mekimi.co.il/wp-content/uploads/2025/07/‎⁨מקימי-חורף-26⁩102159-scaled.jpg,,,id:85394,,,,,,,,Color,camel,,0,,Size,L,,0,,,,,,,,,,,,,,,,
335491,variation,441426023051,,"שמלת מקסי קלושW261015 - camel, M",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,359,,,,https://mekimi.co.il/wp-content/uploads/2025/07/‎⁨מקימי-חורף-26⁩102159-scaled.jpg,,,id:85394,,,,,,,,Color,camel,,0,,Size,M,,0,,,,,,,,,,,,,,,,
